# RA        DEC      ID_1    X1       Y1       Q1 I1     eI1   Q2 I2     eI2   Q3 I3     eI3   Q4 I4     eI4   V      eV    rV_1   VR    eVR   VI    eVI   Plx    pmRA    pmDE   
  80.328003 8.104078 5211872 5291.215 4009.34  0  14.826 0.03  0  14.79  0.035 0  14.839 0.052 0  14.381 0.057 12.856 0.007 -0.038 0.813 0.008 2.104 0.009 0.796  1.541   -1.863 
  80.463854 8.083789 5215132 5478.308 3214.942 0  16.922 0.079 0  16.821 0.091 0  17.052 0.241 0  16.194 0.189 18.615 0.218 -3.098 1.961 0.239 4.22  0.224 1.9183 13.77   -9.874 
  80.443034 8.119656 5214632 5253.751 3320.701 0  16.371 0.061 0  16.312 0.071 0  16.209 0.117 0  15.727 0.144 14.942 0.016 -0.48  0.934 0.019 2.345 0.021 1.0241 -4.874  -0.61  
  80.616802 8.086796 5222803 5534.04  2307.889 0  16.794 0.075 0  16.746 0.088 0  17.243 0.335 0  16.659 0.359 15.524 0.025 -0.424 1.036 0.03  2.414 0.031 0.9366 7.509   -0.491 
  80.609721 8.084083 5222633 5546.86  2351.133 0  16.716 0.072 0  16.674 0.085 0  17.283 0.34  0  16.808 0.345 15.105 0.019 -0.421 0.904 0.024 2.28  0.026 0.5689 1.125   -2.041 
  80.659185 8.075103 5223820 5624.339 2062.609 0  16.436 0.064 0  16.411 0.074 0  16.696 0.254 0  16.164 0.235 16.001 0.027 -1.169 0.945 0.036 2.717 0.035 1.1833 6.882   0.377  
  80.712814 8.100783 5225107 5496.489 1732.623 0  16.926 0.08  0  16.885 0.094 0  17.258 0.355 0  16.622 0.358 16.632 0.045 -1.359 1.097 0.056 2.842 0.053 0.5445 3.536   1.558  
  80.806153 8.092734 5231347 5589.316 1183.844 0  16.241 0.058 0  16.11  0.065 0  16.703 0.218 0  15.763 0.14  16.382 0.047 -1.507 1.078 0.055 2.869 0.053 1.1376 4.395   -1.405 
  80.357717 8.155958 5212585 4995.368 3808.023 0  17.084 0.085 0  17.043 0.1   0  17.151 0.208 0  16.056 0.169 15.212 0.017 -0.174 0.827 0.022 2.155 0.025 0.4447 2.946   -1.236 
  80.522474 8.148863 5220539 5117.432 2836.168 0  16.802 0.074 0  16.733 0.087 0  16.964 0.183 0  16.475 0.273 15.066 0.017 -0.15  0.845 0.022 2.158 0.025 0.2704 0.743   1.108  
  80.559838 8.178922 5221436 4955.672 2600.353 0  16.613 0.068 0  16.603 0.082 0  16.637 0.187 0  15.835 0.181 15.009 0.016 -0.422 0.91  0.019 2.337 0.021 0.4733 0.075   -1.723 
  80.841335 8.180198 5232192 5083.015 933.349  0  17.097 0.085 0  17.014 0.101 0  17.133 0.227 0  16.208 0.19  15.314 0.016 -0.039 0.708 0.023 2.133 0.027 0.0916 2.028   -0.978 
  80.102267 8.22154  5202454 4478.936 5287.807 0  16.113 0.054 0  16.061 0.063 0  16.325 0.147 0  15.838 0.157 16.423 0.041 -1.771 1.154 0.05  2.886 0.049 1.745  -15.535 -18.326
  80.239144 8.247756 5205739 4388.859 4464.816 0  16.984 0.082 0  16.843 0.093 0  16.634 0.163 0  16.175 0.215 17.689 0.16  -2.549 1.242 0.182 2.951 0.178 0.2118 -1.789  -1.855 
  80.21959  8.204615 5205270 4637.33  4601.751 0  16.696 0.071 0  16.669 0.085 0  17.528 0.332 0  16.452 0.302 14.784 0.013 -0.027 0.698 0.018 2.008 0.02  0.2757 2.955   -2.198 
