# ID        V        eV      rV_1     VR      eVR     VI      eVI     col2        col3       Plx       pmRA      pmDE     
  5212440   15.236   0.034   -0.001   0.678   0.05    1.728   0.05    80.35169    8.2834     0.3701    0.059     0.464    
  5212528   13.405   0.009   -0.278   0.754   0.012   1.742   0.013   80.355337   8.28044    1.4572    3.96      -12.212  
  5212169   16.865   0.135   -0.677   0.731   0.172   1.779   0.187   80.340415   7.709891   0.2447    -1.516    2.714    
  5212977   16.433   0.048   -0.545   0.877   0.062   1.881   0.069   80.374068   8.308304   0.1734    0.209     -0.316   
  5212654   15.771   0.061   -0.299   0.896   0.081   1.95    0.085   80.360593   8.278514   0.6363    1.042     -4.319   
  5212942   15.071   0.019   0.039    0.748   0.025   1.698   0.031   80.372617   8.282504   0.5077    -0.809    0.234    
  5212026   13.503   0.007   -0.603   0.899   0.009   1.993   0.01    80.334435   8.311217   0.3496    2.761     -1.676   
  5212792   15.547   0.03    -0.242   0.853   0.037   1.854   0.038   80.366343   8.29573    0.3282    0.954     -3.161   
  5214060   13.897   0.008   2.545    0.779   0.011   1.804   0.011   80.419203   8.234033   0.0691    -0.3      -1.677   
  5213466   17.787   0.162   -0.673   1.047   0.198   2.405   0.192   80.394424   8.123258   -0.313    -2.95     -4.936   
  5214111   18.778   0.413   -1.608   1.687   0.441   2.798   0.444   80.421321   8.290372   0.1706    3.22      2.946    
  5213254   16.185   0.042   -1.907   1.186   0.049   3.03    0.045   80.385588   8.28717    4.9287    7.945     -45.04   
  5214179   17.081   0.086   -1.12    1.093   0.107   2.416   0.1     80.42415    8.303672   1.1446    2.54      -1.486   
  5214101   15.813   0.034   -0.741   0.965   0.04    2.163   0.042   80.420908   8.3011     0.6252    3.421     -0.833   
  5214022   13.946   0.008   -0.049   0.74    0.011   1.72    0.012   80.417594   8.30738    0.6952    -0.347    -1.938   
  5214079   17.673   0.146   -0.802   1.081   0.176   2.294   0.174   80.419981   8.303861   0.3892    -1.385    0.181    
  5214395   17.731   0.149   -0.905   1.095   0.179   2.023   0.193   80.433139   8.297309   0.4692    0.126     -4.57    
  5213341   18.561   0.339   -2.624   1.355   0.372   3.406   0.349   80.389241   8.312129   1.9602    5.593     -5.711   
